npsn,jenis,nama,kecamatan
69831479,TK,AL-ULUM ISLAMIC SCHOOL,Binawidya
69921855,TK,AL-YUSRO,Payung Sekaki
69985649,TK,ALIFA KIDS,Marpoyan Damai
69967515,TK,ALUMNA INDONESIA ISLAMIC SCHOOL,Sail
70038849,TK,ALUMNA ISLAMIC SCHOOL CAB. HARAPAN RAYA,Bukit Raya
69967519,TK,ALUMNA ISLAMIC SCHOOL SUKAJADI,Sukajadi
10496839,TK,AMAL IKHLAS,Bukit Raya
10496697,TK,AMAL IKHLAS,Rumbai Timur
69921845,TK,AMAL-IKLAS,Sukajadi
10496840,TK,AMALIA,Binawidya
69752271,TK,AMANAH,Binawidya
69921960,TK,AMIL HASANAH,Bukit Raya
70039158,TK,AN - NAFI,Binawidya
69831471,TK,AN NAMIROH 1,Tuahmadani
69937595,TK,AN NAMIROH 17,Tuahmadani
69831480,TK,AN NAMIROH 2,Binawidya
10496698,TK,AN NAMIROH 3,Tuahmadani
10496866,TK,AN NAMIROH 4,Bukit Raya
10496875,TK,AN NAMIROH 5,Marpoyan Damai
70032217,TK,AN NAMIROH 6,Kulim
10497268,TK,AN NAMIROH 7,Sukajadi
69831674,TK,ANANDA,Tenayan Raya
10496917,TK,ANGKASA,Marpoyan Damai
10496760,TK,ANUGRAH,Kulim
69948968,TK,APPLE TREE,Payung Sekaki
10496738,TK,AR RAHIM,Rumbai Timur
10496699,TK,ARAFAH,Rumbai
69831679,TK,ARAFAH - IPHI,Limapuluh
69919135,TK,ARSYAD ISLAMIC SCHOOL,Tenayan Raya
10496732,TK,ARTA MAIZAH HAQ,Kulim
10496689,TK,AS SALAM,Marpoyan Damai
10496701,TK,ASRI,Rumbai Timur
10496790,TK,ASYIYAH BUSTANUL ATHFAL V,Bukit Raya
10496702,TK,AT TAUBAH,Rumbai
10496703,TK,AT THOIBA,Kulim
10496704,TK,ATH THOYYIBAH,Rumbai
70056317,TK,AULIA CENDEKIA,Tuahmadani
10496792,TK,AVIA,Marpoyan Damai
70063390,TK,AYUDIRA AL-GHANIY,Tuahmadani
10496729,TK,AZ ZUHRA,Binawidya
70062446,TK,AZ ZUHRA TUAH MADANI,Tuahmadani
69923675,TK,AZ-ZUHRA SP. TIGA,Bukit Raya
10496843,TK,AZIZIYYAH,Tuahmadani
10496813,TK,BABUSSALAM,Tuahmadani
60724796,TK,BAITIL IZZAH,Tuahmadani
10496758,TK,BAITULLAH,Tenayan Raya
10496710,TK,BAITURRAHMAN,Rumbai
10497279,TK,BAITURRAHMAN,Payung Sekaki
69949864,TK,BAMBU KUNING,Tenayan Raya
69831667,TK,BAROKAH PEKANBARU,Kulim
70061421,TK,BE STAR SCHOOL,Binawidya
70042553,TK,BEI PLAYSCHOOL,Pekanbaru Kota
69925454,TK,BHAKTI I YBWI,Binawidya
10496845,TK,BHAKTI IBU,Marpoyan Damai
69831683,TK,BHAYANGKARI 02,Sukajadi
69986191,TK,BINA EDUKASI PEKANBARU,Tenayan Raya
70033723,TK,BINA KASIH IBU,Marpoyan Damai
70011782,TK,BINA MITRA WAHANA,Payung Sekaki
69918935,TK,BINTANG CENDEKIA II,Binawidya
69947497,TK,BINTANG CERIA,Marpoyan Damai
69975354,TK,BINTANG MULIA,Marpoyan Damai
69929507,TK,BIRUNI,Tenayan Raya
69913404,TK,BRILLIANT ISLAMIC SCHOOL,Binawidya
10496705,TK,BUDHI LUHUR,Rumbai
69831659,TK,BUNAYYA 2,Marpoyan Damai
69831672,TK,BUSTANUL ULUM,Tenayan Raya
70063986,TK,C9 SCHOOL,Binawidya
69987647,TK,CAHAYA BUNDA,Tenayan Raya
70030532,TK,CAHAYA RAZQA,Bukit Raya
69919556,TK,CEMARA INDAH II,Tuahmadani
10496806,TK,CEMPAKA,Senapelan
10496791,TK,CENDANA,Rumbai
10496877,TK,CERIWIS,Tenayan Raya
69983643,TK,DAMAI SEJAHTERA,Rumbai
10496706,TK,DANIEL HKBP,Rumbai
69983990,TK,DARA ANANDA,Tuahmadani
10496735,TK,DAREL HIKMAH,Binawidya
10496736,TK,DARMA YUDHA,Limapuluh
10496846,TK,DARUL HIKMAH,Pekanbaru Kota
69924211,TK,DARUL HIKMAH PAYUNG SEKAKI,Payung Sekaki
10496927,TK,DARUL HUDA,Payung Sekaki
10496734,TK,DARUL MAARIF,Limapuluh
69984518,TK,DARUSSALAM,Tuahmadani
69831673,TK,DAYANG SURI,Tenayan Raya
69923101,TK,DAYYINAH KIDS BUKIT RAYA,Bukit Raya
69831688,TK,DAYYINAH KIDS RUMBAI,Rumbai
10497037,TK,DHARMA BUNDA,Sail
69831648,TK,DHARMA LOKA 1,Payung Sekaki
10496794,TK,DIAN HARAPAN,Tenayan Raya
69831681,TK,DINIYAH,Sukajadi
70047154,TK,DOA BANGSA LANCANG KUNING,Bukit Raya
69977487,TK,DUTA RAUDHA CENTER RIAU,Rumbai Timur
69968877,TK,ECCLESIA,Marpoyan Damai
10497106,TK,EDUCATION 21 KULIM,Payung Sekaki
69831684,TK,EDUCATION 21 TERATAI,Sukajadi
69947650,TK,EL SHADDAI MULIA,Payung Sekaki
69933254,TK,ELSHADDAY KIDS,Payung Sekaki
70053964,TK,EMIRAT SCHOOL,Marpoyan Damai
69861841,TK,EXAUDI HKBP,Pekanbaru Kota
70011230,TK,FAJAR CERIA JAYA,Payung Sekaki
10497091,TK,FASTABIQUL KHAIRAT,Sukajadi
69831641,TK,FILIASOFIA,Payung Sekaki
69947046,TK,FIRST DINARA,Kulim
10496708,TK,FKIP UNRI,Binawidya
69920269,TK,FORTUNA CENDEKIA 2,Payung Sekaki
69907665,TK,FUTURE ISLAMIC SCHOOL,Payung Sekaki
70000422,TK,GENIUS AULAD,Marpoyan Damai
70051504,TK,GRACE SHELYNE KIDS,Marpoyan Damai
70025646,TK,GRACIOUS PRESCHOOL & KINDERGARTEN,Senapelan
70042554,TK,GREAT EDUCATION,Rumbai Barat
69956873,TK,GUANG MING 1,Binawidya
69956875,TK,GUANG MING 2,Limapuluh
10496762,TK,HARAPAN BANGSA MUHAJIRIN,Tuahmadani
10496767,TK,HARAPAN BUNDA,Tenayan Raya
69967506,TK,HARAPAN MULIA,Tenayan Raya
10496849,TK,HASANAH,Binawidya
69831649,TK,HIDAYATULLAH,Payung Sekaki
70040941,TK,HKBP EFRATA,Rumbai Barat
69921859,TK,HUMAIROH 2,Kulim
70012933,TK,HUMAIROH 4,Binawidya
70040485,TK,I.C.E ISLAMIC BILINGUAL SCHOOL,Pekanbaru Kota
10496795,TK,IBADAH,Marpoyan Damai
69919852,TK,IHSAN KIDS,Rumbai
10497003,TK,INDONESIAN CREATIVE SCHOOL,Marpoyan Damai
69925846,TK,INSAN UTAMA,Marpoyan Damai
69831657,TK,ISLAM AISYAH PEKANBARU,Marpoyan Damai
10496921,TK,ISLAM AKRAMUNNAS,Sail
69967889,TK,ISLAM AL FIKRIYAH,Kulim
10496878,TK,ISLAM AL FIRAH,Marpoyan Damai
10496836,TK,ISLAM AL KARIMAH,Tuahmadani
69990396,TK,ISLAM AL- AZHAR 54,Tuahmadani
69947717,TK,ISLAM AL-ARSYI,Bukit Raya
69831481,TK,ISLAM AL-MUJAHIDIN,Payung Sekaki
69921883,TK,ISLAM AMMARA,Marpoyan Damai
10496946,TK,ISLAM ANNUR,Pekanbaru Kota
69919033,TK,ISLAM ANNUR BASTARI,Binawidya
69937898,TK,ISLAM AR RAZAQQU,Payung Sekaki
70011779,TK,ISLAM AR-REHAN,Tuahmadani
10497530,TK,ISLAM AS SHOFA,Payung Sekaki
10496709,TK,ISLAM ASY SYAKIRIN,Marpoyan Damai
60724778,TK,ISLAM ASY SYAKIRIN,Payung Sekaki
10496775,TK,ISLAM ASY SYAMS,Limapuluh
10496814,TK,ISLAM BHAKTI II,Tenayan Raya
10496796,TK,ISLAM BINA INSAN KAMIL,Bukit Raya
10496743,TK,ISLAM BPMAA,Pekanbaru Kota
69831476,TK,ISLAM FATIMAH,Tuahmadani
69925449,TK,ISLAM INAYAH,Marpoyan Damai
69953449,TK,ISLAM LAWIYAH,Marpoyan Damai
10496744,TK,ISLAM NAHDHATUL ATHFAL,Tenayan Raya
10496712,TK,ISLAM NURIA,Marpoyan Damai
69919558,TK,ISLAM NURUSSALAM,Bukit Raya
10497121,TK,ISLAM PLUS AL MADINAH,Bukit Raya
10496879,TK,ISLAM SILATURRAHMI,Bukit Raya
69967723,TK,ISLAM TERPADU AL MAHIRA,Rumbai
69949702,TK,ISLAM TERPADU EL-AZZAM,Payung Sekaki
69990086,TK,ISLAM TERPADU RAUDHATUL JANNAH AL WASHLIYAH,Senapelan
10496745,TK,ISLAM YLPI MARPOYAN,Bukit Raya
10496713,TK,ISTIQAMAH,Marpoyan Damai
10496693,TK,IT AL - ITTIHAD,Rumbai
70005249,TK,IT AL FATIH KIDS,Payung Sekaki
69932446,TK,IT AL MUHSININ,Tuahmadani
69919853,TK,IT AL-FIKRI,Marpoyan Damai
10496714,TK,IT ANNISA,Marpoyan Damai
70010550,TK,IT AR ROYYAN KIDS,Tuahmadani
70062114,TK,IT ASFIYAH FARHANA,Tenayan Raya
69970432,TK,IT AT TAMAM 1,Tenayan Raya
70059764,TK,IT AT TAMAM 2,Kulim
70062319,TK,IT AT TAQI,Tuahmadani
69919848,TK,IT BUNAYYA,Bukit Raya
10496959,TK,IT CIKAL KHALIFAH,Tuahmadani
70039963,TK,IT CIKAL KHALIFAH 2,Sukajadi
70042746,TK,IT DARUL JANNAH,Binawidya
69922841,TK,IT FAUZIAH ANNISA,Binawidya
69831473,TK,IT INSAN MADANI,Tuahmadani
77905971,TK,IT MODEL MADANI AR RAHMAN,Sukajadi
70056653,TK,IT NURAINI,Rumbai Timur
70042307,TK,IT YANUR KIDS,Tenayan Raya
69947713,TK,IT-IMAM SYAFII 2 PEKANBARU,Marpoyan Damai
69978569,TK,JR EDUCATION,Payung Sekaki
69939649,TK,JULKHAIRUN,Kulim
10496746,TK,KALAM KUDUS,Limapuluh
10496807,TK,KARNIDA BAHAGIA,Marpoyan Damai
10496797,TK,KARTIKA I-21,Bukit Raya
10496798,TK,KARTIKA I-22,Bukit Raya
10496815,TK,KARTIKA I-4,Bukit Raya
10496747,TK,KARTIKA I-50,Sail
10496770,TK,KARTINI,Limapuluh
69932350,TK,KASIH CAHAYA BUNDA,Limapuluh
69831666,TK,KASTIRA,Kulim
69831675,TK,KEMALA BHAYANGKARI - 3,Limapuluh
10496749,TK,KEMALA BHAYANGKARI I,Pekanbaru Kota
70063851,TK,KHALID BIN WALID,Kulim
69919978,TK,KHALIFAH,Rumbai
10496799,TK,KUSUMA,Tenayan Raya
69969784,TK,LILIK,Bukit Raya
10496852,TK,LILLAH,Marpoyan Damai
70056562,TK,LILY JAYA,Payung Sekaki
69972859,TK,LITTLE STAR PRESCHOOL,Binawidya
69981365,TK,LUHURING BUDI,Rumbai
69957076,TK,MADANI CENDEKIA,Rumbai
70044449,TK,MAFAAZA ISLAMIC PRESCHOOL AND KINDERGARTEN,Tuahmadani
10497425,TK,MAQWA,Kulim
69831686,TK,MASJID RAYA,Senapelan
69919705,TK,MAYERD KIDS,Binawidya
10496773,TK,MELATI,Tenayan Raya
10496827,TK,MELAYU FATHRIZK KIDS,Tuahmadani
10496751,TK,MERANTI,Rumbai
69831642,TK,METHODIST,Payung Sekaki
10496715,TK,METTA MAITREYA,Marpoyan Damai
10496752,TK,MONTESSORI SCHOOL,Limapuluh
69989900,TK,MUBAROK KIDS,Marpoyan Damai
10497554,TK,MUFIDAH,Binawidya
70004512,TK,MUHAMMAD AL - FATIH,Tuahmadani
10496716,TK,MUJAHADAH,Marpoyan Damai
10496717,TK,MUSTIKA BUNDA,Marpoyan Damai
10496854,TK,MUTIARA,Marpoyan Damai
10496855,TK,MUTIARA AL MADANI,Tuahmadani
70008092,TK,MUTIARA INSHANI,Bukit Raya
70000903,TK,MUTIARA RATU,Rumbai
10496686,TK,N PEMBINA I,Sail
10496727,TK,N PEMBINA II,Tuahmadani
69947519,TK,NASYRAH RABBANI,Tenayan Raya
10496793,TK,NEGERI 4,Bukit Raya
69831694,TK,NEGERI 5,Rumbai Timur
